id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,product_type,google_product_category,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
LORIGINAL-88720-FR,Le Vent Nous Pousse Parfois dans D'autres Directions,"Le Vent Nous Pousse Parfois dans D'autres Directions, oeuvre originale de Olivier Salvas. Acrylique et pastel sur canvas sur toile galerie. 122 x 91 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,2200.00 CAD,https://www.loriginal.org/fr/peinture/le-vent-nous-pousse-parfois-dans-d-autres-directions-olivier-salvas-artiste-88720,https://serveur.artur.art/wp-content/uploads/2026/07/image_6a5c16ad40a7e4.38551220-scaled.jpg,https://serveur.artur.art/wp-content/uploads/2026/08/image_6a7f370d5773e4.62016755-scaled.jpg,Olivier Salvas,Art > Peintures originales,500044,|abstrait|,,|grand|,|2500|4000|,en-ligne
LORIGINAL-88232-FR,Une chanson pour Elorane,"Une chanson pour Elorane, oeuvre originale de Sarah Paradis. Mediums mixtes (Acrylique, fusain, pastel à l'huile) sur toile. 102 x 76 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,1800.00 CAD,https://www.loriginal.org/fr/peinture/une-chanson-pour-elorane-sarah-paradis-88232,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab6a6edaaded9.65761881.webp,,Sarah Paradis,Art > Peintures originales,500044,|abstrait|,|romantique|,|petit|,|2500|4000|,en-ligne
LORIGINAL-87615-FR,"Témoins de l'origine de l'histoire,","Témoins de l'origine de l'histoire,, oeuvre originale de ALAN DAVID MACINTYRE. acrylic on multi-level board sur hardboard, plywood. 76 x 79 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,3000.00 CAD,https://www.loriginal.org/fr/peinture/temoins-de-l-origine-de-l-histoire-loosecanine-87615,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab6a2dad6a507.34172340.webp,,ALAN DAVID MACINTYRE,Art > Peintures originales,500044,|surrealisme|,,|petit|,|4000|,en-ligne
LORIGINAL-84356-FR,Danses lumineuses,"Danses lumineuses, oeuvre originale de Ariane Duplessis. Huile sur toile. 51 x 61 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,650.00 CAD,https://www.loriginal.org/fr/peinture/painting-abstract-flowers-shadows-colorful-art-84356,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab67e0e3a5e36.19927357.webp,,Ariane Duplessis,Art > Peintures originales,500044,|minimaliste|,|romantique|,|petit|,|1000|1750|2500|4000|,en-ligne
LORIGINAL-88043-FR,Haïku 5,"Haïku 5, oeuvre originale de Marie-Kim Lavigne. Latex et poudre UV sur toile. 76 x 76 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,1300.00 CAD,https://www.loriginal.org/fr/peinture/haiku-5-mk-lavigne-88043,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab6a5b76fb973.10848453.webp,,Marie-Kim Lavigne,Art > Peintures originales,500044,|minimaliste|,|calme|,|petit|,|1750|2500|4000|,en-ligne
LORIGINAL-84354-FR,Bordeaux au soleil,"Bordeaux au soleil, oeuvre originale de Ariane Duplessis. Huile sur toile. 102 x 76 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,1200.00 CAD,https://www.loriginal.org/fr/peinture/nature-trees-landscape-grass-shadows-sky-84354,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab67e1acb4825.27004721.webp,,Ariane Duplessis,Art > Peintures originales,500044,|minimaliste|,|calme|paysages|,|petit|,|1750|2500|4000|,en-ligne
LORIGINAL-88241-FR,Autoportrait #1,"Autoportrait #1, oeuvre originale de Marie-Elen Larouche. acrylique et collage sur caneva. 51 x 71 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,560.00 CAD,https://www.loriginal.org/fr/peinture/autoportrait-1-melen-88241,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab6a70d0e7053.34666129.webp,,Marie-Elen Larouche,Art > Peintures originales,500044,|abstrait|,,|petit|,|1000|1750|2500|4000|,en-ligne
LORIGINAL-88242-FR,L'amoureux,"L'amoureux, oeuvre originale de Marie-Elen Larouche. acrylique sur caneva. 61 x 91 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,864.00 CAD,https://www.loriginal.org/fr/peinture/l-amoureux-melen-88242,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab6a70b8faa12.23760708.webp,,Marie-Elen Larouche,Art > Peintures originales,500044,|abstrait|,,|petit|,|1000|1750|2500|4000|,en-ligne
LORIGINAL-84360-FR,Après-midi sur le court,"Après-midi sur le court, oeuvre originale de Ariane Duplessis. Huile sur toile. 76 x 91 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,1080.00 CAD,https://www.loriginal.org/fr/peinture/tennis-court-shadow-painting-minimalist-green-84360,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab67e0fa07276.42309508.webp,,Ariane Duplessis,Art > Peintures originales,500044,|minimaliste|,,|petit|,|1750|2500|4000|,en-ligne
LORIGINAL-84370-FR,Danses lumineuses 03,"Danses lumineuses 03, oeuvre originale de Ariane Duplessis. Huile sur toile. 46 x 56 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,600.00 CAD,https://www.loriginal.org/fr/peinture/painting-abstract-shadows-frame-wall-light-84370,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab681278756d3.40924756.webp,,Ariane Duplessis,Art > Peintures originales,500044,|minimaliste|,|calme|romantique|,|petit|,|1000|1750|2500|4000|,en-ligne
LORIGINAL-86904-FR,Doux désordre,"Doux désordre, oeuvre originale de Albertini Nathalie. Acrylique & Medium mixte sur toile sur caneva. 76 x 61 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,745.00 CAD,https://www.loriginal.org/fr/peinture/doux-desordre-nathalie-albertini-86904,https://serveur.artur.art/wp-content/uploads/2026/06/image_6a3c2a620db7f1.87376438.jpg,,Albertini Nathalie,Art > Peintures originales,500044,|abstrait|,|calme|romantique|,|petit|,|1000|1750|2500|4000|,en-ligne
LORIGINAL-84362-FR,Piscine montréalaise,"Piscine montréalaise, oeuvre originale de Ariane Duplessis. Huile sur toile. 102 x 76 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,1200.00 CAD,https://www.loriginal.org/fr/peinture/pool-water-diving-board-ladder-empty-84362,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab68124628a03.60100023.webp,,Ariane Duplessis,Art > Peintures originales,500044,|minimaliste|,|calme|,|petit|,|1750|2500|4000|,en-ligne
LORIGINAL-88000-FR,Nymphe #3,"Nymphe #3, oeuvre originale de Clara Tissot. Acrylique sur toile sur toile. 41 x 51 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,320.00 CAD,https://www.loriginal.org/fr/peinture/nymphe-3-clara-tissot-88000,https://serveur.artur.art/wp-content/uploads/2026/07/image_6a4d4df12b75d6.60503120.webp,,Clara Tissot,Art > Peintures originales,500044,|minimaliste|,|calme|paysages|,|petit|,|500|1000|1750|2500|4000|,en-ligne
LORIGINAL-87713-FR,La Geisha au claire de lune,"La Geisha au claire de lune, oeuvre originale de Arnold Eigger. Acrylique sur toile. 30 x 30 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,300.00 CAD,https://www.loriginal.org/fr/peinture/la-geisha-au-claire-de-lune-arnold-eigger-87713,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab6a3a0d5af67.94764769.webp,,Arnold Eigger,Art > Peintures originales,500044,|minimaliste|,|calme|romantique|,|mini|,|500|1000|1750|2500|4000|,en-ligne
LORIGINAL-86878-FR,STRATA 02,"STRATA 02, oeuvre originale de Elya Brandao. Technique mixte  sur toile. 30 x 91 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,1160.00 CAD,https://www.loriginal.org/fr/peinture/strata-02-azulejo-studio-86878,https://serveur.artur.art/wp-content/uploads/2026/07/image_6a6bf993aedb66.30125797-scaled.webp,"https://serveur.artur.art/wp-content/uploads/2026/07/image_6a6bf97feee0f1.90554216-scaled.webp,https://serveur.artur.art/wp-content/uploads/2026/07/image_6a6bf9a9295902.81346353-scaled.webp",Elya Brandao,Art > Peintures originales,500044,|minimaliste|,|calme|,|petit|,|1750|2500|4000|,en-ligne
LORIGINAL-88067-FR,Peak,"Peak, oeuvre originale de Marie-Kim Lavigne. Latex et poudre UV sur toile. 76 x 76 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,1300.00 CAD,https://www.loriginal.org/fr/peinture/peak-mk-lavigne-88067,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab6a5e3f23221.14520333.webp,,Marie-Kim Lavigne,Art > Peintures originales,500044,|minimaliste|,|calme|paysages|,|petit|,|1750|2500|4000|,en-ligne
LORIGINAL-84643-FR,Asana,"Asana, oeuvre originale de Audrey Néron. Technique mixte sur toile. 36 x 46 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,1650.00 CAD,https://www.loriginal.org/fr/peinture/abstract-painting-colorful-graffiti-modern-art-84643,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab685c5369114.08977840.webp,,Audrey Néron,Art > Peintures originales,500044,|abstrait|,|romantique|,|petit|,|1750|2500|4000|,en-ligne
LORIGINAL-84374-FR,Danses lumineuses 02,"Danses lumineuses 02, oeuvre originale de Ariane Duplessis. Huile sur toile. 51 x 61 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,650.00 CAD,https://www.loriginal.org/fr/peinture/abstract-painting-shadows-colors-rectangles-silhouette-84374,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab6812712b660.73664898.webp,,Ariane Duplessis,Art > Peintures originales,500044,|minimaliste|,|romantique|,|petit|,|1000|1750|2500|4000|,en-ligne
LORIGINAL-88711-FR,Temps d'idée,"Temps d'idée, oeuvre originale de Zachary Gauthier. Acrylique sur toile sur toile montée en boi. 76 x 102 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,1300.00 CAD,https://www.loriginal.org/fr/peinture/temps-d-idee-gaut-88711,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab6aa1bd24ca9.21241795.webp,,Zachary Gauthier,Art > Peintures originales,500044,|surrealisme|,|calme|paysages|,|petit|,|1750|2500|4000|,en-ligne
LORIGINAL-91620-FR,Multimedia,"Multimedia, oeuvre originale de Miles Phillips. Acrylic sur toile. 220 x 110 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,6000.00 CAD,https://www.loriginal.org/fr/peinture/multimedia-artofmiles-91620,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab6bf2256bd63.30186010.webp,,Miles Phillips,Art > Peintures originales,500044,|minimaliste|,|calme|romantique|,|grand|,|5000-plus|,en-ligne
LORIGINAL-87825-FR,Portail,"Portail, oeuvre originale de Guylaine Marceau. Acrylique sur boi. 61 x 61 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",out of stock,new,880.00 CAD,https://www.loriginal.org/fr/peinture/portail-marceau-87825,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab6a45c45f753.61410942.webp,,Guylaine Marceau,Art > Peintures originales,500044,|abstrait|,,|petit|,|1000|1750|2500|4000|,
LORIGINAL-84364-FR,Nice,"Nice, oeuvre originale de Ariane Duplessis. Huile sur toile. 84 x 84 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,1089.00 CAD,https://www.loriginal.org/fr/peinture/market-awning-striped-people-shopping-stall-84364,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab6812781de63.26779392.webp,,Ariane Duplessis,Art > Peintures originales,500044,|minimaliste|,|romantique|,|petit|,|1750|2500|4000|,en-ligne
LORIGINAL-84378-FR,Piscine tard dans la nuit,"Piscine tard dans la nuit, oeuvre originale de Ariane Duplessis. Huile sur toile. 51 x 61 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,650.00 CAD,https://www.loriginal.org/fr/peinture/billiards-pool-balls-cue-green-table-84378,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab6812a5e2ed4.16382276.webp,,Ariane Duplessis,Art > Peintures originales,500044,|minimaliste|,|romantique|,|petit|,|1000|1750|2500|4000|,en-ligne
LORIGINAL-88392-FR,Prêt à tout,"Prêt à tout, oeuvre originale de Angela Bisson. mixed media sur canva. 46 x 61 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,860.00 CAD,https://www.loriginal.org/fr/peinture/pret-a-tout-angela-bisson-88392,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab6a845de2122.11156009.webp,,Angela Bisson,Art > Peintures originales,500044,|abstrait|,|romantique|portraits|,|petit|,|1000|1750|2500|4000|,en-ligne
LORIGINAL-88585-FR,Mini-Powder,"Mini-Powder, oeuvre originale de Marie-Kim Lavigne. Latex et poudre UV sur toile. 30 x 30 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,450.00 CAD,https://www.loriginal.org/fr/peinture/mini-powder-mk-lavigne-88585,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab6a9951ce036.32734080.webp,,Marie-Kim Lavigne,Art > Peintures originales,500044,|minimaliste|,|calme|paysages|,|mini|,|500|1000|1750|2500|4000|,en-ligne
LORIGINAL-87275-FR,Courant de Vénus,"Courant de Vénus, oeuvre originale de Côté. Acrylique fluide sur toile. 41 x 51 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,325.00 CAD,https://www.loriginal.org/fr/peinture/courant-de-venus-lili-87275,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab6a0976a8f84.90593034.webp,,Côté,Art > Peintures originales,500044,|abstrait|,|calme|,|petit|,|500|1000|1750|2500|4000|,en-ligne
LORIGINAL-89568-FR,LA LUMIÈRE EST DÉJÀ EN ROUTE,"LA LUMIÈRE EST DÉJÀ EN ROUTE, oeuvre originale de Ginette Lefebvre. Acrylique texturé et collage sur toile galerie. 51 x 61 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,495.00 CAD,https://www.loriginal.org/fr/peinture/la-lumiere-est-deja-en-route-gaule-89568,https://serveur.artur.art/wp-content/uploads/2026/07/image_6a6c9a3fbeff44.71027146.jpg,https://serveur.artur.art/wp-content/uploads/2026/07/image_6a6c9a68a525c7.79847977-scaled.jpg,Ginette Lefebvre,Art > Peintures originales,500044,|abstrait|,|calme|romantique|,|petit|,|500|1000|1750|2500|4000|,en-ligne
LORIGINAL-84358-FR,Veux-tu être mon Valentin ?,"Veux-tu être mon Valentin ?, oeuvre originale de Ariane Duplessis. Huile sur toile. 36 x 46 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,550.00 CAD,https://www.loriginal.org/fr/peinture/painting-striped-shadow-flowers-red-pink-84358,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab67e102e6424.08753939.webp,,Ariane Duplessis,Art > Peintures originales,500044,|minimaliste|,|calme|romantique|,|petit|,|1000|1750|2500|4000|,en-ligne
LORIGINAL-88416-FR,Au Réveil,"Au Réveil, oeuvre originale de Olivier Salvas. Acrylique et pastel sur toile sur toile style galerie. 61 x 91 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,1080.00 CAD,https://www.loriginal.org/fr/peinture/au-reveil-olivier-salvas-artiste-88416,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab6a8602855b9.60852839.webp,,Olivier Salvas,Art > Peintures originales,500044,|abstrait|,,|petit|,|1750|2500|4000|,en-ligne
LORIGINAL-88904-FR,Capitalism,"Capitalism, oeuvre originale de Zachary Gauthier. Acrylique sur toile sur toile montée en boi. 91 x 91 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,1300.00 CAD,https://www.loriginal.org/fr/peinture/capitalism-gaut-88904,https://serveur.artur.art/wp-content/uploads/2026/09/image_6ab6ab1778cdb3.11304945.webp,,Zachary Gauthier,Art > Peintures originales,500044,|surrealisme|,|calme|romantique|paysages|,|grand|,|1750|2500|4000|,en-ligne
LORIGINAL-87685-FR,La guerrière,"La guerrière, oeuvre originale de Arnold Eigger. Acrylique sur toile. 25 x 25 cm. Pièce unique, certificat d'authenticité signé, livraison partout au Canada.",in stock,new,200.00 CAD,https://www.loriginal.org/fr/peinture/la-guerriere-arnold-eigger-87685,https://serveur.artur.art/wp-content/uploads/2026/07/image_6a46bfa0c54c97.66614906.webp,,Arnold Eigger,Art > Peintures originales,500044,|minimaliste|,|calme|,|mini|,|500|1000|1750|2500|4000|,en-ligne
